operator_id,operator_name,workcenter_id,shift_id,reference_month
1001,Operator 001,1,1,2026-04-01
1002,Operator 002,1,2,2026-04-01
1003,Operator 003,1,3,2026-04-01
1004,Operator 004,1,1,2026-04-01
1005,Operator 005,1,2,2026-04-01
1006,Operator 006,1,3,2026-04-01
1007,Operator 007,1,1,2026-04-01
1008,Operator 008,1,2,2026-04-01
1009,Operator 009,1,3,2026-04-01
1010,Operator 010,1,1,2026-04-01
1011,Operator 011,1,2,2026-04-01
1012,Operator 012,1,3,2026-04-01
1013,Operator 013,1,1,2026-04-01
1014,Operator 014,2,1,2026-04-01
1015,Operator 015,2,2,2026-04-01
1016,Operator 016,2,3,2026-04-01
1017,Operator 017,2,1,2026-04-01
1018,Operator 018,2,2,2026-04-01
1019,Operator 019,2,3,2026-04-01
1020,Operator 020,2,1,2026-04-01
1021,Operator 021,2,2,2026-04-01
1022,Operator 022,2,3,2026-04-01
1023,Operator 023,2,1,2026-04-01
1024,Operator 024,2,2,2026-04-01
1025,Operator 025,2,3,2026-04-01
1026,Operator 026,2,1,2026-04-01
1027,Operator 027,3,1,2026-04-01
1028,Operator 028,3,2,2026-04-01
1029,Operator 029,3,3,2026-04-01
1030,Operator 030,3,1,2026-04-01
1031,Operator 031,3,2,2026-04-01
1032,Operator 032,3,3,2026-04-01
1033,Operator 033,3,1,2026-04-01
1034,Operator 034,3,2,2026-04-01
1035,Operator 035,3,3,2026-04-01
1036,Operator 036,3,1,2026-04-01
1037,Operator 037,3,2,2026-04-01
1038,Operator 038,3,3,2026-04-01
1039,Operator 039,3,1,2026-04-01
